SK_ID_CURR,AGE,ANNUAL_INCOME,LOAN_AMOUNT,EMPLOYMENT_YEARS,CREDIT_SCORE,EXISTING_LOANS,TARGET
100117,60,81899,51389,2,515,3,1
100118,42,32392,23161,7,406,0,0
100119,47,64724,12490,37,397,0,1
100120,55,52299,29502,3,781,4,0
100121,21,35641,40757,11,798,1,1
100122,55,99534,46111,30,529,3,0
100123,57,26305,88245,24,556,1,0
100124,34,118262,63645,15,342,2,1
100125,23,38782,64055,13,541,3,1
100126,21,98257,13998,12,394,0,0
100127,25,125299,33906,6,487,4,1
100128,46,97963,75192,11,684,1,1
100129,34,132086,55477,36,699,0,1
100130,59,141987,41901,3,805,4,1
100131,47,40566,96271,1,466,0,1
100132,29,144591,57021,34,424,3,1
100133,35,87766,34092,2,386,1,0
100134,35,26511,6242,3,788,2,1
100135,46,134816,6831,37,525,0,1
100136,62,127765,55721,11,644,1,0
100137,33,138360,33511,18,817,3,0
100138,52,46177,77782,9,330,0,1
100139,59,24765,23302,0,595,3,1
100140,52,40354,60568,16,713,2,1
100141,24,43929,8232,15,434,2,1
100142,50,48820,56507,8,824,4,0
100143,57,131576,81508,8,303,4,0
100144,43,49523,15683,8,477,4,0
100145,59,91088,28664,11,558,3,0
100146,35,86163,38172,14,364,4,1
100147,63,97525,88641,1,662,1,0
100148,49,33780,69340,10,316,3,0
100149,56,26589,92236,10,499,3,1
100150,33,54812,16017,7,843,4,1
100151,52,113664,41613,31,511,4,1
100152,27,65939,91130,5,734,3,1
100153,42,71493,81920,19,572,2,0
100154,48,124188,35348,38,589,2,0
100155,22,113326,21448,34,782,4,0
100156,62,60953,14491,7,533,2,0
100157,26,85785,83648,33,707,1,0
100158,48,39309,63759,18,445,1,1
100159,48,74195,49553,6,729,1,1
100160,64,135662,5968,30,731,3,0
100161,64,45901,5368,17,844,3,0
100162,40,43576,78960,39,796,3,1
100163,50,51508,40010,13,388,3,1
100164,31,94711,59154,38,710,3,0
100165,48,45464,40851,35,540,4,0
100166,45,80281,30496,16,522,2,1
100167,59,36260,35936,36,767,4,0
100168,53,144997,83858,8,621,2,1
100169,21,55440,72005,19,674,4,1
100170,47,115082,42493,27,411,1,0
100171,33,125583,74795,19,826,0,1
100172,61,76683,41390,35,711,3,1
100173,23,144206,15292,26,568,0,0
100174,59,61430,97377,7,551,0,0
100175,26,21987,33365,31,673,1,1
100176,28,134778,22207,0,749,0,0
100177,47,45105,27912,16,836,0,1
100178,29,98484,85771,8,667,1,0
100179,57,138747,61572,19,554,2,0
100180,53,33026,24276,31,762,4,1
100181,62,88309,10534,1,567,0,1
100182,64,65927,97005,31,425,3,1
100183,44,95414,40670,8,692,1,1
100184,35,77535,67147,29,633,0,0
100185,52,62946,41486,19,667,2,1
100186,52,146503,70557,37,755,2,1
100187,44,76561,39268,0,366,3,0
100188,61,30377,86335,4,365,0,1
100189,32,73592,31336,34,699,3,1
100190,59,27347,8641,35,586,2,1
100191,22,53776,92132,0,485,2,1
100192,23,23783,37959,13,583,4,1
100193,57,75798,18306,8,815,2,0
100194,37,24298,51182,29,536,1,1
100195,22,90204,79123,23,317,4,1
100196,22,106207,61326,3,713,3,1
100197,48,120356,26498,13,308,2,1
100198,43,75161,75198,24,719,1,1
100199,57,80652,32197,3,328,4,1
100200,52,54484,25719,24,647,1,0
100201,53,118614,95201,9,749,4,0
100202,21,149572,30032,34,679,4,1
100203,39,132695,64624,6,665,4,1
100204,22,40922,83177,12,526,3,0
100205,64,54028,46964,3,417,4,1
100206,46,131461,35028,35,711,4,1
100207,52,40316,59646,13,655,1,0
100208,26,96996,86187,17,553,4,0
100209,52,36968,13536,7,842,3,1
100210,24,50266,61747,31,743,1,1
100211,31,145679,50712,26,380,4,1
100212,37,115745,11273,36,345,1,0
100213,58,44000,76820,22,348,3,0
100214,44,143239,96228,6,748,1,1
100215,25,34011,79353,11,706,3,0
100216,54,22866,99491,24,582,2,1
100217,26,132669,97091,2,772,4,1
100218,42,25898,90914,25,715,3,1
100219,31,38395,55830,3,420,4,1
100220,36,59019,22127,35,302,3,1
100221,53,123243,88488,14,615,0,0
100222,29,24006,16539,31,759,0,1
100223,26,54393,51761,28,526,0,1
100224,36,30956,51219,9,378,3,0
100225,49,70042,19692,20,843,4,0
100226,23,116199,88656,15,370,0,0
100227,40,26078,18334,18,496,4,1
100228,56,49631,33615,28,357,3,1
100229,39,115676,12903,17,723,4,1
100230,46,141724,33527,15,768,4,1
100231,23,82901,20629,0,347,0,0
100232,39,127227,63008,1,734,1,0
100233,40,89497,88276,14,484,2,1
100234,52,114813,31708,38,464,3,1
100235,27,137192,15860,27,630,3,0
100236,61,61574,22438,0,629,3,0
100237,53,138494,72300,4,420,2,1
100238,60,51417,76545,21,512,1,1
100239,59,108020,25842,35,806,4,1
100240,38,103639,65213,12,467,3,0
100241,60,85006,47372,0,845,4,1
100242,21,114881,73906,15,726,0,0
100243,31,131862,43744,21,520,0,1
100244,48,59454,62442,31,309,0,1
100245,45,21587,90990,15,419,3,1
100246,43,141688,8650,14,546,2,0
100247,51,128107,50117,11,659,3,0
100248,50,135584,96244,0,520,0,0
100249,62,74710,57772,16,805,0,0
100250,55,143157,8190,27,357,3,0
100251,27,106567,53113,6,759,2,1
100252,36,111748,13789,8,427,2,0
100253,46,95886,37125,21,385,4,1
100254,22,38816,22459,25,403,1,1
100255,21,105824,40418,11,442,0,1
100256,32,49432,52085,6,504,2,1
100257,25,129758,23768,14,337,0,0
100258,57,68617,54961,37,662,1,1
100259,52,92373,86099,20,608,0,1
100260,29,54217,32885,13,351,2,0
100261,61,40884,92421,1,300,4,1
100262,55,25454,66082,7,310,3,1
100263,39,94960,11895,5,513,3,1
100264,36,122421,55311,36,817,2,1
100265,23,127173,94494,36,714,2,0
100266,40,63618,72067,32,307,1,0
100267,44,103948,76017,5,304,0,1
100268,53,82671,28932,25,661,1,0
100269,44,67111,26360,38,411,3,1
100270,31,59613,59847,36,572,0,1
100271,28,105678,95365,13,721,1,1
100272,56,140592,90468,36,564,3,1
100273,58,122928,43931,7,757,0,0
100274,60,144917,60823,38,511,4,1
100275,40,79993,43032,12,377,4,1
100276,55,148652,86426,12,520,1,1
100277,45,28848,23807,39,668,2,1
100278,55,134853,16767,27,646,0,1
100279,45,98672,13071,17,324,1,1
100280,49,139279,58413,18,719,2,1
100281,38,86125,31149,37,653,2,1
100282,38,106444,20540,31,716,0,0
100283,22,137509,75248,21,814,0,0
100284,55,81602,96737,1,514,2,1
100285,36,92045,90435,12,411,3,1
100286,61,125997,24787,22,727,1,0
100287,56,62222,25982,24,515,0,1
100288,53,69223,27606,27,712,2,1
100289,24,130012,15150,10,679,3,0
100290,53,131246,90929,32,531,4,0
100291,34,85333,51936,23,557,2,1
100292,41,72732,98286,1,555,3,1
100293,40,142650,13593,29,702,4,1
100294,28,69420,22358,16,723,3,0
100295,27,95504,87143,39,364,0,1
100296,23,22462,42381,33,489,2,1
100297,37,29460,95347,37,472,4,1
100298,53,119319,33074,21,526,3,1
100299,32,145602,25595,4,687,4,1
100300,42,29275,49194,39,700,1,1
100301,42,114213,54377,15,512,2,1
100302,50,33269,31853,12,352,0,0
100303,58,149593,78719,25,438,4,1
100304,58,142672,25661,30,717,3,0
100305,28,85942,55493,38,442,4,1
100306,47,92920,41495,22,808,3,0
100307,47,140737,18703,11,785,4,0
100308,54,42553,58080,13,736,0,1
100309,41,44366,35815,17,842,0,0
100310,50,64036,34565,26,592,2,1
100311,53,37369,68321,27,583,0,0
100312,48,31795,63453,17,313,4,1
100313,53,90021,93478,15,571,4,1
100314,25,127205,38161,15,324,0,1
100315,39,88154,60991,12,621,1,1
100316,24,50143,14716,28,402,4,0
100317,55,49425,38349,8,339,2,1
100318,37,108209,52098,25,534,1,1
100319,64,95139,5132,27,388,0,0
100320,48,125232,56990,12,399,3,0
100321,50,25368,73921,35,443,4,0
100322,49,24621,41538,8,381,3,0
100323,26,78829,12213,13,528,2,1
100324,55,149036,49223,11,694,1,1
100325,61,80294,96655,31,812,3,1
100326,57,34719,73371,37,496,2,0
100327,44,49227,73274,2,573,3,1
100328,49,129430,9134,15,671,3,1
100329,51,27566,96428,19,379,2,1
100330,55,32306,44601,31,534,4,1
100331,53,73822,78889,22,586,3,1
100332,41,44042,20690,16,844,2,0
100333,52,35086,6909,15,736,3,1
100334,43,37387,96239,37,426,4,1
100335,53,47042,85032,7,716,2,0
100336,23,109424,17062,18,340,3,0
100337,38,71618,80386,29,768,0,1
100338,45,112050,98237,33,596,4,0
100339,62,38323,39731,13,341,3,0
100340,51,38019,10153,21,578,1,1
100341,23,95426,15481,16,758,2,0
100342,60,60863,71425,14,332,3,0
100343,44,140953,68600,31,575,4,1
100344,52,131023,89981,12,389,4,1
100345,42,30283,76997,20,823,1,1
100346,43,38279,33205,39,459,1,0
100347,22,66999,93887,32,757,3,1
100348,47,82780,86542,26,698,0,0
100349,62,42908,49149,34,390,4,1
100350,22,81584,54112,15,765,0,0
100351,46,146278,15940,27,519,0,1
100352,37,133002,64010,33,718,3,1
100353,60,70225,81794,0,678,2,0
100354,53,57952,29485,30,746,2,0
100355,29,120706,94299,35,445,2,1
100356,63,57663,6067,32,532,1,1
100357,59,142019,25607,32,670,4,0
100358,49,129708,66597,38,533,1,0
100359,62,81381,79554,17,666,4,1
100360,46,67929,53521,22,780,4,1
100361,55,29343,20187,22,662,4,0
100362,45,96173,8985,14,810,3,0
100363,44,120260,48052,25,394,2,1
100364,33,59791,24563,29,515,1,1
100365,27,49134,52322,24,842,1,1
100366,56,132366,66245,15,434,3,0
100367,40,67101,56514,38,382,4,1
100368,21,89443,23608,13,690,2,1
100369,28,119111,72262,16,346,0,1
100370,36,77530,97118,11,691,0,1
100371,34,66799,76327,28,684,3,1
100372,32,24827,62225,31,680,2,1
100373,43,116143,78994,23,376,0,1
100374,35,82653,22221,12,558,0,0
100375,48,33699,53506,19,698,1,1
100376,54,122828,25968,14,399,2,1
100377,22,133497,87606,3,800,0,1
100378,52,111419,32937,33,682,1,1
100379,43,134527,67435,27,491,2,1
100380,42,136972,54508,1,644,4,0
100381,45,25313,46831,29,309,2,1
100382,42,33598,47933,25,563,3,1
100383,42,131362,52307,25,567,1,1
100384,62,135445,53340,19,494,4,1
100385,26,48807,91338,27,706,1,0
100386,35,90423,48601,19,595,1,1
100387,63,89390,80956,10,396,0,0
100388,57,65226,77178,9,761,2,1
100389,53,79550,90311,22,386,1,1
100390,28,100072,33754,36,376,1,1
100391,64,23558,48310,18,782,3,0
100392,64,95308,74893,17,445,3,0
100393,25,70113,91799,26,410,3,1
100394,59,72999,53367,5,596,1,1
100395,24,75878,18201,9,725,4,1
100396,26,56343,7739,1,633,2,0
100397,52,78219,18231,23,822,1,1
100398,50,55186,47495,37,837,0,0
100399,55,56966,26168,27,461,4,1
100400,60,53769,37624,27,729,4,0
100401,36,139932,15635,38,368,2,1
100402,33,146264,14964,1,432,4,0
100403,62,125423,32785,4,488,2,0
100404,50,73218,87797,10,578,4,1
100405,39,39229,89790,9,729,2,1
100406,37,95209,81928,1,841,3,1
100407,39,47877,17336,14,460,3,1
100408,48,78001,82475,38,752,4,1
100409,46,117137,32412,36,469,4,0
100410,57,58084,87212,6,356,2,0
100411,46,101780,80379,19,539,2,0
100412,43,112892,50591,33,657,1,0
100413,29,36806,66750,34,500,3,1
100414,32,108635,95648,33,743,1,1
100415,21,130177,40454,21,601,1,1
100416,21,57034,67672,30,405,0,1
100417,54,60317,32228,22,400,2,1
100418,52,75468,19429,18,396,0,1
100419,45,39094,89294,3,328,0,0
100420,60,77796,72808,23,805,1,0
100421,21,30589,87886,19,737,0,0
100422,36,77221,58015,38,678,2,1
100423,59,144855,93074,27,372,1,0
100424,25,21657,73936,38,553,2,1
100425,42,118300,85907,16,815,4,1
100426,49,137229,62378,18,849,0,0
100427,23,59531,42310,34,319,1,1
100428,32,72227,88683,31,834,3,0
100429,46,23164,73827,38,720,2,1
100430,36,113078,40256,34,745,0,1
100431,57,103973,81428,29,435,2,1
100432,42,61247,43889,16,804,2,0
100433,49,124041,56428,28,600,4,1
100434,34,39601,42207,5,332,2,0
100435,48,113966,55255,16,577,4,0
100436,25,70599,96531,16,432,4,1
100437,50,91545,10409,13,826,4,1
100438,25,135295,47438,23,425,0,1
100439,32,24552,12869,36,644,2,0
100440,36,136452,61862,39,316,2,0
100441,46,29417,92937,38,677,4,1
100442,46,78579,30958,31,359,2,1
100443,41,127525,81302,35,766,2,1
100444,59,88207,24768,36,690,4,1
100445,56,92055,31145,13,486,3,0
100446,53,122266,80622,26,797,3,1
100447,50,98270,31442,18,660,4,0
100448,57,131426,86948,30,748,0,0
100449,43,137865,30596,8,480,2,1
100450,30,23722,80791,37,429,2,1
100451,25,90442,47406,16,448,3,0
100452,56,115632,45524,18,771,4,1
100453,54,60031,28332,3,799,0,1
100454,51,99235,20764,10,654,4,1
100455,30,41438,32563,21,510,3,1
100456,39,78819,92675,3,329,3,1
100457,52,63856,41370,16,323,2,1
100458,21,53576,10062,7,521,1,1
100459,25,61938,49645,33,700,0,0
100460,24,69028,12244,10,811,0,1
100461,36,79807,11372,30,387,1,1
100462,44,69877,90501,10,764,3,0
100463,36,117783,69471,37,349,4,0
100464,22,63461,21956,20,402,0,1
100465,48,113474,45473,29,667,1,1
100466,52,60469,18894,9,791,2,0
100467,47,103136,74586,25,567,2,1
100468,40,40435,21709,26,696,3,1
100469,44,104117,86258,7,619,0,1
100470,32,34191,20210,38,819,4,1
100471,55,104726,54510,7,748,0,0
100472,53,143658,43674,7,775,2,1
100473,53,135660,22733,33,539,0,0
100474,63,47386,25080,15,557,2,1
100475,57,51721,58412,12,689,1,1
100476,32,74786,63971,22,642,1,0
100477,23,33704,44709,11,686,2,1
100478,21,76635,64846,26,693,4,1
100479,53,22123,70480,21,569,4,1
100480,60,110710,57960,31,448,0,1
100481,30,129837,46152,26,679,2,1
100482,63,134912,32250,1,327,3,1
100483,64,82993,90765,32,448,4,0
100484,49,132752,53137,25,719,4,1
100485,33,100122,87011,27,579,1,0
100486,32,117512,51412,18,481,4,1
100487,51,45416,48876,4,465,4,1
100488,22,21814,99547,32,316,4,1
100489,55,98537,78664,19,449,2,1
100490,43,70258,55227,29,638,2,1
100491,37,36508,37450,7,344,1,1
100492,46,105166,89433,37,801,0,0
100493,28,98916,78704,16,488,4,1
100494,49,133710,11861,0,360,0,1
100495,46,55699,66914,2,593,2,1
100496,30,66335,68888,25,332,4,0
100497,46,66806,84286,30,598,0,1
100498,54,97853,66293,7,714,0,1
100499,61,83768,87524,7,848,3,1
100500,27,55739,73515,34,730,2,1
100501,24,54785,28524,38,794,1,0
100502,31,51980,12065,27,399,1,1
100503,49,109335,42684,3,322,3,1
100504,56,120719,93720,15,719,0,1
100505,45,114702,38365,12,723,3,0
100506,41,105016,63876,19,786,3,1
100507,56,21609,28704,4,388,2,1
100508,30,86253,62857,36,508,4,1
100509,57,105481,10622,19,570,0,1
100510,29,111128,88797,23,705,1,1
100511,44,48141,98955,35,577,1,1
100512,55,50009,96141,33,505,3,1
100513,55,147581,99707,33,627,3,1
100514,56,130966,92700,18,635,3,0
100515,38,26782,84332,16,337,0,1
100516,59,112072,71201,4,527,3,1
100517,52,119352,37694,24,782,3,1
100518,44,45933,94766,17,433,4,1
100519,43,97154,27995,7,689,0,0
100520,52,28307,97320,26,724,2,1
100521,57,112207,85141,14,809,2,1
100522,32,126209,87999,12,726,4,1
100523,33,128297,13419,15,773,1,1
100524,43,95874,52952,21,660,2,0
100525,45,58346,38837,19,510,0,1
100526,55,132138,75799,12,478,1,1
100527,61,70772,53877,19,357,3,1
100528,50,92084,50687,1,372,0,1
100529,37,60149,42276,34,514,1,1
100530,40,106700,39523,18,372,2,1
100531,45,47526,71055,36,766,3,1
100532,42,116758,59615,5,570,3,1
100533,33,105712,15514,13,798,0,1
100534,39,148447,52456,3,653,3,1
100535,56,88477,12233,21,533,1,0
100536,32,25695,6102,38,618,4,0
100537,61,59169,71133,35,318,2,1
100538,39,67947,51715,33,671,0,1
100539,32,67224,90193,26,483,4,1
100540,29,65865,11256,6,576,4,1
100541,27,45553,69800,2,444,0,0
100542,48,124501,99937,32,380,1,1
100543,34,80410,46548,1,621,2,1
100544,51,123754,77090,15,734,0,1
100545,39,110895,83200,24,342,4,1
100546,36,44816,47367,14,612,4,1
100547,25,75026,94922,23,592,0,1
100548,55,70705,75382,14,368,4,1
100549,32,81922,31205,30,355,0,1
100550,45,135700,30570,13,503,0,0
100551,41,93914,35255,13,719,2,0
100552,56,21881,26182,5,849,0,1
100553,43,59567,44373,13,542,4,1
100554,36,67365,48019,16,500,3,0
100555,59,147928,67619,17,773,2,0
100556,62,99211,21043,19,826,4,1
100557,59,90122,50532,16,376,4,1
100558,34,45006,70936,15,777,2,1
100559,51,61198,24239,39,739,2,1
100560,25,42831,15416,38,562,4,0
100561,55,120649,8412,31,484,3,0
100562,43,36459,86976,8,354,1,1
100563,49,52443,29406,26,607,4,0
100564,63,62316,6875,32,815,2,0
100565,31,116131,42066,9,598,0,0
100566,38,84486,10752,16,529,0,0
100567,32,25877,91753,35,676,2,1
100568,29,59553,83025,16,585,2,1
100569,30,134137,6353,17,437,1,0
100570,64,24922,31986,22,777,2,0
100571,37,142778,91907,33,306,0,0
100572,58,137018,19691,7,718,3,1
100573,27,24686,74847,12,771,2,1
100574,33,52766,53075,22,719,1,1
100575,60,99943,15794,19,575,3,0
100576,62,52006,73470,21,389,1,1
100577,29,51422,21406,22,581,3,1
100578,47,136590,80930,34,847,2,1
100579,22,148886,31872,2,470,0,0
100580,25,32205,46708,33,654,3,0
100581,49,106590,25800,32,503,4,1
100582,57,43527,48397,16,588,1,1
100583,58,131483,42909,18,761,3,0
100584,39,38443,26352,29,472,1,0
100585,28,36524,98848,22,600,0,1
100586,21,136477,20438,14,828,1,1
100587,42,48202,93921,13,439,1,1
100588,37,85552,49999,1,577,4,1
100589,27,66142,23482,38,810,1,1
100590,45,81692,37471,17,645,3,1
100591,24,102384,52279,5,439,1,1
100592,56,40855,59213,31,413,2,1
100593,26,103747,18026,20,806,1,1
100594,51,80372,90184,39,665,2,1
100595,39,45095,10435,27,696,1,1
100596,64,58724,13493,26,410,1,1
100597,59,69241,77227,1,657,3,1
100598,47,123119,64321,32,537,2,0
100599,30,72003,7763,15,302,2,1
100600,46,88379,25389,38,703,4,1
100601,39,114837,36498,21,324,1,1
100602,59,111996,68755,12,808,1,0
100603,23,117454,40825,1,764,3,1
100604,33,114283,21934,13,360,4,1
100605,48,35972,10574,37,807,4,1
100606,40,143805,43179,27,422,3,1
100607,48,113846,6587,6,796,2,0
100608,28,42927,47782,17,354,0,1
100609,61,140589,59412,35,462,3,0
100610,59,135657,65561,35,338,2,1
100611,21,86630,82224,3,382,4,0
100612,23,124428,9409,29,845,3,1
100613,33,142035,76319,23,412,0,0
100614,48,72347,31751,19,724,1,1
100615,45,119708,43174,30,529,3,1
100616,53,146244,61572,23,582,0,1
100617,58,108860,66416,6,586,0,0
100618,26,106210,17041,25,454,3,1
100619,64,89518,28227,12,464,2,1
100620,52,65283,40201,7,481,3,1
100621,41,101326,41069,4,538,4,0
100622,36,32205,87190,12,638,0,1
100623,41,140243,31370,28,811,0,1
100624,31,109874,16586,19,565,1,0
100625,57,32748,55231,13,486,0,0
100626,56,41097,10322,31,339,1,1
100627,55,23092,70294,26,792,0,0
100628,39,73311,84468,24,690,0,1
100629,40,42692,34299,3,559,3,1
100630,38,144954,95715,20,475,3,0
100631,61,43862,75793,17,628,4,0
100632,34,110396,51501,38,499,2,1
100633,35,99507,62134,14,495,4,1
100634,51,100152,14777,37,830,0,1
100635,21,90469,16249,23,361,4,0
100636,23,24926,26390,7,626,3,0
100637,36,111299,25369,27,580,0,1
100638,43,23969,17881,20,526,0,0
100639,31,55733,14587,15,357,4,1
100640,32,89855,98800,15,776,1,0
100641,30,61743,79327,34,675,2,1
100642,52,59876,92911,16,542,4,1
100643,36,127445,93147,8,666,4,1
100644,28,40323,12833,34,799,2,0
100645,58,36428,52013,28,551,0,1
100646,32,54578,68620,38,621,0,1
100647,44,106486,20754,17,675,1,0
100648,48,128577,83113,11,708,4,1
100649,28,84140,91784,18,787,2,1
100650,48,146378,40282,21,642,4,1
100651,56,127325,41737,14,539,3,0
100652,46,103829,29124,0,438,4,1
100653,28,26364,75102,1,421,4,1
100654,48,148867,7196,7,719,3,1
100655,48,55349,66527,21,603,3,0
100656,57,20691,90395,24,414,2,1
100657,61,146899,16345,1,642,0,1
100658,56,115598,39077,8,550,1,0
100659,47,86467,71400,8,306,3,1
100660,37,65896,17055,12,478,0,1
100661,29,77062,90283,5,444,2,0
100662,53,117266,49484,29,715,4,1
100663,40,99762,82514,14,420,2,0
100664,33,33861,95135,14,423,2,0
100665,48,116837,40771,6,449,3,1
100666,49,133779,62654,10,696,1,1
100667,33,108302,51540,39,680,3,0
100668,55,121710,88151,37,300,4,0
100669,26,83928,34377,39,543,3,1
100670,38,126643,54573,1,697,4,1
100671,25,135720,47733,38,550,3,0
100672,45,103231,16760,9,598,1,1
100673,22,61347,30762,16,596,0,1
100674,30,23121,55986,6,799,1,0
100675,50,103793,39332,39,414,3,1
100676,25,48164,45100,38,300,2,0
100677,53,45491,9944,3,781,0,0
100678,21,79222,53825,34,809,2,1
100679,38,43165,18877,35,634,1,0
100680,52,134250,34990,30,764,0,0
100681,31,23748,60283,24,440,3,1
100682,41,118581,8258,12,436,2,1
100683,46,46553,36629,17,466,3,1
100684,45,136547,42579,20,642,4,1
100685,42,80380,27958,0,709,0,0
100686,47,64331,44465,35,364,2,0
100687,33,116033,90853,7,366,1,1
100688,53,116844,20775,20,732,1,0
100689,54,140617,81575,20,349,1,1
100690,61,59560,99633,26,613,1,1
100691,55,73865,39207,18,608,2,1
100692,21,66686,27553,22,414,4,1
100693,41,95910,58632,34,641,1,1
100694,26,24675,5055,39,829,1,1
100695,48,86706,93697,4,794,1,1
100696,37,126985,37873,7,568,4,1
100697,25,129021,85720,10,379,0,0
100698,51,144062,71205,15,755,1,0
100699,25,147359,83199,38,598,1,0
100700,58,97986,30318,23,501,1,0
100701,23,96216,38734,20,802,0,0
100702,43,30068,87227,22,784,1,1
100703,57,74460,23522,37,317,0,0
100704,57,120766,16656,7,777,0,1
100705,30,66418,20893,6,787,3,1
100706,30,46206,21493,1,745,3,1
100707,39,148180,8632,29,639,1,1
100708,37,20287,93648,12,830,2,1
100709,41,42337,66779,22,415,3,0
100710,34,40666,43452,28,373,3,0
100711,29,136595,18266,37,568,2,1
100712,21,21161,66607,36,415,4,1
100713,33,134817,21940,19,463,1,0
100714,24,141025,29003,32,521,4,1
100715,21,120667,39815,28,425,4,1
100716,60,110071,35869,14,475,0,0
100717,52,118064,54297,22,674,0,1
100718,54,58751,65107,2,797,1,0
100719,48,102063,87793,36,384,2,0
100720,51,126511,21682,28,682,0,0
100721,28,109389,24622,7,762,3,1
100722,59,34758,35408,21,750,1,1
100723,46,85780,13837,28,817,4,1
100724,54,135614,69210,1,849,1,1
100725,23,23178,20407,0,415,0,1
100726,32,51831,34309,19,307,2,0
100727,21,22176,76918,20,517,4,0
